ID#,Topflight,Balance,Qual_miles,cc1_miles?,cc2_miles?,cc3_miles?,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Online_12,Email,Club_member,Any_cc_miles_12mo,Phone_sale
134,No,19823,0,No,No,No,1095,3,335,1,0,No,Yes,No,Yes
135,Yes,145074,0,No,No,No,8000,4,0,0,0,Yes,Yes,No,Yes
136,Yes,101101,0,No,No,No,10850,11,1850,6,0,Yes,No,No,No
137,No,125948,0,Yes,No,No,15155,15,0,0,0,Yes,No,Yes,Yes
138,Yes,259484,1776,No,No,No,19172,26,7172,23,0,Yes,No,No,No
139,No,129298,0,Yes,No,No,29099,15,0,0,0,Yes,No,Yes,No
140,Yes,103302,0,Yes,No,No,53552,22,700,3,0,Yes,Yes,Yes,Yes
141,No,160447,0,Yes,No,No,8578,25,0,0,0,No,No,Yes,No
142,No,15472,0,No,No,No,3500,14,0,0,0,Yes,No,No,No
143,No,39628,0,No,No,No,0,0,0,0,0,No,No,No,No
144,No,6112,0,No,No,No,0,0,0,0,0,Yes,No,No,No
145,No,31769,0,No,No,No,450,2,450,2,0,Yes,No,No,No
146,No,126787,0,Yes,No,No,35021,17,0,0,0,Yes,No,Yes,No
147,No,41547,0,Yes,No,No,16857,17,0,0,0,Yes,No,Yes,No
148,Yes,100640,0,No,No,No,7600,8,1600,5,0,Yes,No,No,No
149,No,18707,0,No,No,No,100,1,0,0,0,No,No,No,No
150,No,50593,0,Yes,No,No,58208,17,1500,2,0,Yes,Yes,Yes,Yes
151,No,84631,0,Yes,No,No,20415,17,0,0,0,No,Yes,Yes,Yes
152,No,24868,0,No,No,No,205,5,0,0,0,Yes,No,No,No
153,No,77097,0,Yes,No,No,42403,22,1718,4,0,Yes,No,Yes,No
154,Yes,930410,0,Yes,No,No,211284,18,2250,6,0,Yes,Yes,Yes,Yes
155,No,298121,0,Yes,No,No,60808,20,500,1,0,Yes,No,Yes,No
156,No,87474,0,Yes,No,No,4581,15,0,0,0,No,No,Yes,No
157,Yes,48707,0,Yes,No,No,37655,14,0,0,0,Yes,No,Yes,No
158,Yes,220081,0,Yes,No,No,52574,21,500,1,0,Yes,No,Yes,No
159,No,212976,0,Yes,No,No,19926,12,0,0,0,No,Yes,Yes,Yes
160,No,44182,0,Yes,No,No,12313,12,0,0,0,Yes,No,Yes,No
161,Yes,228829,0,Yes,No,No,59852,21,0,0,0,Yes,No,Yes,No
162,No,46823,0,Yes,No,No,5860,12,0,0,0,Yes,No,Yes,No
163,No,69110,0,Yes,No,No,18500,19,0,0,0,No,No,Yes,No
164,No,120700,0,Yes,No,No,55323,17,1500,1,0,Yes,No,Yes,No
165,Yes,152945,0,No,No,No,18604,6,3604,2,0,Yes,No,No,No
166,No,10302,0,Yes,No,No,30298,19,0,0,0,Yes,No,Yes,No
167,No,80331,0,Yes,No,No,15489,18,0,0,0,Yes,No,Yes,No
168,No,69882,0,Yes,No,No,180,6,0,0,0,No,No,Yes,No
169,No,95658,0,Yes,Yes,No,5269,18,0,0,0,No,Yes,Yes,Yes
170,Yes,402874,0,Yes,No,No,74800,15,0,0,0,Yes,No,Yes,No
171,Yes,370941,0,Yes,No,No,44615,16,0,0,0,Yes,Yes,Yes,Yes
172,No,21694,0,Yes,No,No,45230,20,700,2,0,Yes,No,Yes,No
173,No,71767,0,Yes,No,No,67335,13,0,0,0,No,No,Yes,No
174,No,35820,0,No,No,No,0,0,0,0,0,No,No,No,No
175,Yes,352508,0,Yes,No,No,23740,6,1000,2,0,Yes,Yes,Yes,Yes
176,Yes,149285,0,Yes,No,No,15656,13,3250,6,0,Yes,Yes,Yes,Yes
177,No,120941,0,Yes,No,No,42301,21,0,0,0,Yes,No,Yes,No
178,Yes,451673,0,Yes,No,No,43533,19,900,4,0,No,No,Yes,No
179,Yes,106961,0,Yes,No,No,7357,19,200,2,0,Yes,No,Yes,No
180,No,28086,1745,Yes,No,No,7368,12,0,0,0,No,Yes,Yes,Yes
181,No,60230,0,No,No,No,500,1,0,0,0,Yes,No,No,No
182,No,6663,0,No,No,No,1125,7,750,4,0,Yes,Yes,No,Yes
183,No,48145,0,Yes,No,No,10735,27,0,0,0,Yes,Yes,Yes,Yes
184,No,127807,0,Yes,No,No,17086,16,1500,3,0,No,No,Yes,No
186,No,32948,0,No,No,No,50,1,50,1,0,Yes,Yes,No,Yes
187,No,8933,0,Yes,No,No,8860,14,0,0,0,Yes,Yes,Yes,Yes
188,No,49885,0,Yes,No,No,23640,17,0,0,0,No,No,Yes,No
189,No,89999,0,Yes,No,No,11694,13,0,0,0,Yes,No,Yes,No
190,Yes,707079,0,Yes,No,No,57173,40,3450,12,1,Yes,Yes,Yes,Yes
191,No,211595,0,No,No,No,3250,8,0,0,0,No,No,No,No
192,No,410795,0,Yes,No,No,73679,31,0,0,0,No,No,Yes,No
193,No,72173,0,Yes,No,No,2954,13,232,1,0,Yes,Yes,Yes,Yes
194,Yes,123516,0,Yes,No,No,240544,31,500,2,0,Yes,Yes,Yes,Yes
195,Yes,143080,733,Yes,No,No,44373,38,3928,17,0,Yes,Yes,Yes,Yes
196,Yes,386061,0,Yes,No,No,107813,24,0,0,0,Yes,No,Yes,No
197,No,52738,2398,No,No,No,0,0,0,0,0,No,No,No,No
198,No,24523,0,No,No,No,100,1,0,0,0,Yes,Yes,No,Yes
199,No,134601,0,No,No,No,0,0,0,0,0,Yes,Yes,No,Yes
200,No,32742,0,Yes,No,No,61857,26,0,0,0,Yes,Yes,Yes,Yes
201,No,108341,0,Yes,No,No,19670,21,0,0,0,No,No,Yes,Yes
202,No,8669,0,Yes,Yes,No,11397,16,0,0,0,No,No,Yes,No
203,No,118940,0,Yes,No,No,36001,17,150,1,0,Yes,No,Yes,Yes
204,No,41385,0,Yes,No,No,26948,14,0,0,0,No,Yes,Yes,Yes
205,Yes,28621,0,Yes,No,No,13878,20,1400,10,0,Yes,No,Yes,No
206,No,16230,0,No,Yes,No,486,2,0,0,0,No,No,Yes,No
207,Yes,152881,0,Yes,No,No,79687,18,500,1,0,Yes,No,Yes,No
208,No,37348,0,No,No,No,0,0,0,0,0,No,No,No,No
209,No,51468,0,No,No,No,2278,9,0,0,0,Yes,No,No,Yes
210,No,95989,0,Yes,No,No,92159,30,1329,4,0,Yes,Yes,Yes,Yes
211,Yes,23184,1250,No,No,No,3694,12,1150,3,0,Yes,No,No,Yes
212,No,27381,0,Yes,No,No,18009,18,0,0,0,Yes,Yes,Yes,Yes
213,No,6854,0,No,No,No,0,0,0,0,0,No,No,No,No
214,No,201346,0,Yes,No,No,99612,34,600,4,0,Yes,No,Yes,Yes
215,No,31588,0,Yes,No,No,2947,8,0,0,0,Yes,No,Yes,No
216,No,204582,0,Yes,No,No,4671,14,0,0,0,No,No,Yes,No
217,No,8298,0,Yes,No,No,20087,15,0,0,0,Yes,No,Yes,Yes
218,No,10097,0,No,No,No,2700,1,2700,1,0,No,Yes,No,Yes
219,No,114356,0,Yes,No,No,27308,14,0,0,0,No,No,Yes,No
220,No,1344,0,Yes,Yes,No,1134,9,0,0,0,No,No,Yes,No
221,No,59797,0,Yes,No,No,7069,4,0,0,0,Yes,Yes,Yes,Yes
222,Yes,189053,0,Yes,No,No,24156,22,0,0,0,Yes,No,Yes,No
223,No,143481,0,Yes,No,No,45891,15,0,0,0,Yes,Yes,Yes,Yes
224,Yes,1302051,2706,Yes,No,No,90653,32,3050,7,0,Yes,Yes,Yes,Yes
225,Yes,229744,0,Yes,No,No,68754,35,550,2,0,Yes,Yes,Yes,Yes
226,No,75039,0,No,No,No,2750,10,250,1,1,Yes,Yes,No,Yes
227,No,20203,0,No,No,No,750,6,0,0,0,Yes,Yes,No,Yes
228,No,193976,0,Yes,No,No,10849,14,0,0,0,Yes,No,Yes,No
229,No,98224,0,Yes,No,No,5570,11,0,0,0,No,Yes,Yes,Yes
230,No,117329,0,Yes,Yes,No,6448,11,0,0,0,Yes,No,Yes,No
231,No,119239,0,Yes,No,No,36362,15,250,1,0,No,Yes,Yes,Yes
232,No,53715,0,Yes,No,No,7164,15,300,2,0,Yes,No,Yes,No
233,No,153747,0,Yes,No,No,58689,15,0,0,0,Yes,No,Yes,No
234,No,133309,0,Yes,No,No,23987,13,0,0,0,No,No,Yes,No
235,No,81380,0,Yes,No,No,56524,22,0,0,8,Yes,No,Yes,No
236,No,22074,0,Yes,Yes,No,6039,15,0,0,0,No,No,Yes,No
237,No,24051,0,Yes,No,No,8764,13,0,0,0,Yes,No,Yes,Yes
238,No,11449,0,Yes,No,No,9057,13,0,0,0,Yes,No,Yes,No
239,Yes,182317,0,Yes,No,No,19489,17,273,1,0,Yes,No,Yes,No
240,No,46184,0,No,No,No,3125,12,500,1,0,Yes,No,No,No
241,Yes,285116,0,Yes,No,No,8471,18,500,1,0,No,No,Yes,No
242,Yes,30962,0,Yes,No,No,97683,37,6400,18,0,Yes,Yes,Yes,Yes
243,No,15525,0,Yes,No,No,3853,6,0,0,0,Yes,No,Yes,No
244,No,163530,0,Yes,No,No,88987,25,0,0,0,Yes,No,Yes,No
245,No,2075,0,Yes,No,No,5002,14,0,0,0,Yes,No,Yes,No
246,No,227881,0,Yes,No,No,41186,13,0,0,0,No,No,Yes,No
247,No,118934,0,Yes,No,No,66222,37,2250,17,0,No,No,Yes,No
248,Yes,468175,0,Yes,No,No,141615,22,0,0,0,Yes,Yes,Yes,Yes
249,No,12526,0,Yes,No,No,56076,19,3850,11,0,Yes,No,Yes,No
250,Yes,176090,0,No,No,No,5300,9,2200,6,0,Yes,No,No,Yes
251,No,15221,0,Yes,No,No,4425,9,0,0,0,Yes,Yes,Yes,Yes
252,No,92875,0,Yes,No,No,60990,14,0,0,0,Yes,No,Yes,No
253,Yes,88702,0,Yes,No,No,9620,13,50,1,0,No,No,Yes,No
254,No,62882,0,Yes,No,No,1925,8,0,0,0,No,Yes,Yes,Yes
255,No,30015,0,No,No,No,5875,32,0,0,0,Yes,No,No,No
256,No,87293,0,Yes,No,No,21584,17,1050,2,0,Yes,No,Yes,No
257,No,45225,0,Yes,No,No,14711,15,0,0,0,No,No,Yes,No
258,Yes,96098,0,No,No,No,12500,4,0,0,0,No,No,No,No
259,No,236274,0,Yes,No,No,61515,12,0,0,0,Yes,Yes,Yes,Yes
260,Yes,423540,0,No,No,No,8534,14,2100,9,0,Yes,No,No,No
261,No,25279,0,Yes,No,No,14938,26,0,0,0,Yes,No,Yes,No
262,No,198137,0,No,No,No,6303,6,500,1,0,Yes,No,No,No
263,No,402312,0,Yes,No,No,77122,18,250,3,0,Yes,Yes,Yes,Yes
264,No,149733,0,No,No,No,605,3,500,1,0,No,No,No,No
265,No,70730,0,Yes,Yes,No,1319,12,0,0,0,No,No,Yes,No
266,No,164613,0,Yes,No,No,11095,13,0,0,0,No,No,Yes,Yes
267,No,47557,0,Yes,No,No,10267,18,200,3,0,Yes,No,Yes,No
268,Yes,35065,0,No,No,No,5400,5,1400,3,0,Yes,No,No,Yes
269,No,105769,0,Yes,No,No,23097,16,0,0,0,No,No,Yes,No
270,No,35900,0,No,No,No,0,0,0,0,0,No,No,No,No
271,No,43088,0,No,No,No,4000,1,0,0,0,Yes,No,No,No
272,No,58703,0,Yes,No,No,46473,34,950,4,0,Yes,No,Yes,No
273,Yes,70354,0,Yes,No,No,120907,22,0,0,0,Yes,Yes,Yes,Yes
274,No,145726,0,Yes,No,No,19019,15,0,0,0,Yes,No,Yes,No
275,No,121639,0,Yes,No,No,67286,7,0,0,0,No,No,Yes,No
276,No,70676,0,Yes,No,No,74993,15,0,0,0,No,No,Yes,No
277,No,18263,0,No,No,No,2100,4,1000,2,0,Yes,No,No,Yes
278,No,51250,0,No,No,No,0,0,0,0,0,Yes,No,No,Yes
279,Yes,1704838,0,No,No,No,17108,32,4823,23,0,Yes,Yes,No,Yes
280,No,12895,0,No,No,No,0,0,0,0,0,No,Yes,No,Yes
281,No,120073,0,Yes,No,No,12423,29,0,0,0,Yes,Yes,Yes,Yes
282,No,2003,0,No,No,No,980,2,0,0,0,No,No,No,No
283,Yes,22652,0,Yes,No,No,57642,14,0,0,0,Yes,No,Yes,No
284,Yes,168515,0,No,No,No,4600,4,0,0,0,Yes,No,No,Yes
285,Yes,44873,0,Yes,No,No,38740,18,850,2,0,Yes,Yes,Yes,Yes
286,No,190542,1745,Yes,No,No,8487,9,0,0,0,Yes,No,Yes,No
287,Yes,156230,0,No,No,No,5300,8,1300,5,0,Yes,No,No,No
288,No,79211,0,Yes,No,No,36776,14,0,0,0,Yes,No,Yes,No
289,No,98006,0,Yes,No,No,46349,20,2309,3,0,No,No,Yes,No
290,No,33982,0,Yes,No,No,68320,17,0,0,0,Yes,No,Yes,No
291,No,62998,0,Yes,No,No,11326,24,0,0,1,Yes,No,Yes,No
292,No,137908,0,Yes,No,No,57713,19,0,0,5,Yes,No,Yes,No
293,No,45586,0,Yes,No,No,37459,15,0,0,0,Yes,Yes,Yes,Yes
294,Yes,568174,0,Yes,No,No,67121,16,1000,2,0,Yes,No,Yes,No
295,Yes,145993,0,Yes,No,No,95082,17,500,1,0,Yes,Yes,Yes,Yes
296,No,294881,0,Yes,No,No,84800,20,0,0,0,Yes,No,Yes,No
297,No,12195,0,No,No,No,3875,17,0,0,0,Yes,No,No,No
298,No,16622,0,No,No,No,0,0,0,0,0,Yes,Yes,No,Yes
299,No,141813,0,Yes,No,No,39743,14,0,0,0,No,No,Yes,No
300,Yes,58139,500,Yes,No,No,38408,16,150,1,0,No,No,Yes,No
301,No,238868,0,Yes,No,No,20521,16,0,0,0,No,No,Yes,Yes
302,Yes,149286,0,Yes,No,No,42141,30,2400,13,0,Yes,Yes,Yes,Yes
303,No,35945,0,No,No,No,0,0,0,0,0,Yes,Yes,No,Yes
304,No,28218,0,No,No,No,750,4,750,4,0,No,Yes,No,Yes
305,No,7061,0,No,Yes,No,7100,12,0,0,0,No,No,Yes,No
306,No,217846,0,Yes,No,No,49198,20,0,0,0,Yes,No,Yes,Yes
307,No,364387,0,Yes,No,No,28200,27,0,0,0,Yes,No,Yes,No
308,No,125465,0,Yes,No,No,14750,9,0,0,0,No,No,Yes,No
309,No,94222,0,Yes,No,No,52081,24,0,0,0,Yes,No,Yes,No
310,Yes,123370,0,Yes,No,No,7478,16,0,0,0,No,Yes,Yes,Yes
311,No,383030,2998,Yes,Yes,No,8001,25,3226,15,0,Yes,Yes,Yes,Yes
312,No,112969,0,Yes,No,No,7572,7,0,0,0,No,No,Yes,No
313,No,46430,0,No,No,No,2100,4,500,1,0,Yes,No,No,No
314,No,179433,0,Yes,No,No,30476,15,0,0,0,No,No,Yes,No
315,No,20746,0,Yes,No,No,37534,17,0,0,0,Yes,No,Yes,No
316,Yes,61455,0,Yes,No,No,28765,17,0,0,0,Yes,Yes,Yes,Yes
317,Yes,714717,0,Yes,No,No,119162,20,1750,4,0,Yes,No,Yes,No
318,Yes,179559,0,Yes,No,No,17819,12,1000,2,0,No,No,Yes,No
319,Yes,119977,2556,No,No,No,9275,16,1400,4,0,Yes,Yes,No,Yes
320,No,16928,0,No,No,No,1000,1,0,0,0,Yes,No,No,No
321,No,65316,0,Yes,No,No,3917,10,0,0,0,Yes,No,Yes,No
322,Yes,766419,0,No,No,No,11398,3,398,1,0,Yes,Yes,No,Yes
323,Yes,52060,0,No,No,No,6500,3,0,0,0,Yes,No,No,No
324,No,84700,0,Yes,No,No,13544,17,0,0,0,No,No,Yes,Yes
325,Yes,205523,0,Yes,No,No,32404,20,1000,2,0,Yes,No,Yes,No
326,No,20457,0,Yes,No,No,51399,16,0,0,0,Yes,No,Yes,No
327,Yes,278727,0,No,No,No,21666,19,9166,16,0,Yes,No,No,No
328,No,50325,0,Yes,No,No,11930,14,0,0,0,Yes,No,Yes,No
329,No,455228,0,No,No,No,258,2,258,2,0,No,Yes,No,Yes
330,No,73849,0,Yes,No,No,11793,21,0,0,0,No,No,Yes,No
331,Yes,388455,0,Yes,No,No,114329,26,6078,8,2,Yes,Yes,Yes,Yes
332,Yes,138999,0,Yes,No,No,63738,29,600,4,0,Yes,No,Yes,No
333,No,65573,0,No,No,No,3875,23,0,0,0,Yes,No,No,No
334,No,172288,0,Yes,No,No,66879,10,0,0,0,Yes,No,Yes,No
335,No,47958,0,No,No,No,0,0,0,0,0,No,No,No,No
337,No,133002,0,Yes,No,No,15672,21,150,1,1,Yes,No,Yes,No
338,No,42363,0,No,No,No,0,0,0,0,0,No,No,No,No
339,No,133370,0,Yes,No,No,44299,18,0,0,0,Yes,No,Yes,No
340,Yes,278457,6727,Yes,No,No,57313,27,1000,2,0,Yes,Yes,Yes,Yes
341,No,105166,1374,Yes,No,No,37663,22,0,0,0,Yes,No,Yes,No
342,No,34956,0,No,No,No,0,0,0,0,0,No,Yes,No,Yes
343,No,46963,0,No,No,No,1500,5,0,0,0,No,No,No,No
344,No,55788,0,Yes,No,No,24831,12,0,0,0,Yes,No,Yes,No
345,Yes,174910,0,Yes,No,No,63960,20,200,1,0,Yes,No,Yes,Yes
346,No,13812,0,Yes,No,No,15149,39,0,0,0,Yes,No,Yes,No
347,No,38718,0,No,No,No,0,0,0,0,0,No,No,No,No
348,Yes,112501,0,No,No,Yes,19140,11,0,0,4,Yes,No,Yes,Yes
349,No,54005,0,No,No,No,1500,5,0,0,0,No,Yes,No,Yes
